"Scopus Source Identifier","Journal","2016 Cite Score","Number of Cases (Model 1)","Odds Ratio (Model 1)","95% CI Lower Bound (Model 1)","95% CI Upper Bound (Model 1)","P-Value (Model 1)","Number of Cases (Model 2)","Odds Ratio (Model 2)","95% CI Lower Bound (Model 2)","95% CI Upper Bound (Model 2)","P-Value (Model 2)","Number of ICCs (2013)","Number of ICCs (2014)","Number of ICCs (2015)","Number of ICCs (2016)","Number of ICCs (2017)","Journal Topics"
"14224","Arquivos de Neuro-Psiquiatria",0.77,33,"1.27","0.57","2.85","0.559",33,"1.27","0.57","2.85","0.988",12,10,13,10,8,"Clinical Neurology"
"22466","Arteriosclerosis, Thrombosis, and Vascular Biology",5.28,115,"0.58","0.35","0.97","0.037",115,"0.58","0.35","0.97","0.053",22,29,25,27,31,"Cardiology and Cardiovascular Medicine"
"21100297606","Arthritis and Rheumatology",5.73,72,"0.83","0.47","1.45","0.513",72,"0.83","0.47","1.45","0.581",0,19,17,25,19,"Immunology and Allergy; Rheumatology"
"19143","Arthritis Care and Research",3.66,11,"2.87","0.77","10.65","0.116",11,"2.87","0.77","10.65","0.295",5,3,2,0,2,"Rheumatology"
"27592","Arthritis Research and Therapy",3.65,45,"1.13","0.60","2.16","0.699",45,"1.13","0.60","2.16","0.893",6,5,16,19,3,"Immunology and Allergy; Rheumatology"
"15222","Arthroscopy - Journal of Arthroscopic and Related Surgery",2.34,60,"0.69","0.20","2.40","0.564",60,"0.69","0.20","2.40","0.408",4,1,59,72,62,"Orthopedics and Sports Medicine"
"21100241807","Artificial Cells, Nanomedicine and Biotechnology",1.18,5,"1.20","0.19","7.46","0.847",5,"1.20","0.19","7.46","0.999",0,1,0,4,0,"Medicine (miscellaneous)"
"24140","Artificial Intelligence in Medicine",2.65,8,"4.16","0.78","22.21","0.095",8,"4.16","0.78","22.21","0.076",5,1,2,0,0,"Medicine (miscellaneous)"
"4000148021","Asia-Pacific Journal of Clinical Oncology",1.55,3,"1.73","0.12","24.80","0.686",3,"1.73","0.12","24.80","NA",1,1,0,0,1,"Oncology"
"21100451398","Asia-Pacific Journal of Ophthalmology",0.35,5,"0.50","0.05","4.97","0.554",5,"0.50","0.05","4.97","0.787",0,0,2,0,4,"Ophthalmology"
"19598","Asia-Pacific Journal of Public Health",0.83,9,"0.11","0.01","0.99","0.049",9,"0.11","0.01","0.99","0.179",0,0,4,4,4,"Public, Environmental, and Occupational Health"
"27642","Asian Journal of Andrology",1.88,40,"0.42","0.14","1.25","0.118",40,"0.42","0.14","1.25","0.208",2,19,8,25,4,"Urology"
"21100243808","Asian Journal of Transfusion Science",0.74,3,"1.14","0.09","13.89","0.918",3,"1.14","0.09","13.89","0.993",2,1,0,0,0,"Hematology; Immunology and Allergy"
"22483","Atherosclerosis",3.81,34,"0.65","0.25","1.70","0.381",34,"0.65","0.25","1.70","0.672",23,15,7,0,0,"Cardiology and Cardiovascular Medicine"
"22485","Atherosclerosis Supplements",2.91,4,"4.50","0.41","49.63","0.219",4,"4.50","0.41","49.63","0.165",1,3,0,0,0,"Cardiology and Cardiovascular Medicine; Internal Medicine"
"28557","Australasian Journal on Ageing",0.89,8,"2.07","0.35","12.36","0.424",8,"2.07","0.35","12.36","0.600",3,0,1,2,6,"Geriatrics and Gerontology"
"28047","Australasian Physical and Engineering Sciences in Medicine",1,3,"2.58","0.16","41.30","0.502",3,"2.58","0.16","41.30","0.722",0,0,3,1,0,"Radiology Nuclear Medicine and Imaging"
"12547","Australian and New Zealand Journal of Obstetrics and Gynaecology",1.51,8,"0.29","0.05","1.65","0.164",8,"0.29","0.05","1.65","0.248",0,3,1,2,4,"Obstetrics and Gynecology"
"14250","Australian and New Zealand Journal of Psychiatry",1.65,47,"0.45","0.22","0.91","0.026",47,"0.45","0.22","0.91","0.084",27,23,16,12,7,"Psychiatry and Mental Health"
"12080","Australian Health Review",1.14,3,"1.30","0.11","14.78","0.834",3,"1.30","0.11","14.78","0.999",0,0,3,0,0,"Health Policy"
"20689","Autoimmunity Reviews",8.27,19,"0.58","0.20","1.73","0.331",19,"0.58","0.20","1.73","0.425",14,5,1,0,2,"Immunology and Allergy"
"28253","Bailliere's Best Practice and Research in Clinical Gastroenterology",3.8,4,"2.68","0.34","21.25","0.350",4,"2.68","0.34","21.25","0.995",1,1,0,3,0,"Gastroenterology"
"22488","Basic Research in Cardiology",4.68,9,"1.02","0.16","6.37","0.983",9,"1.02","0.16","6.37","0.229",5,2,1,2,1,"Cardiology and Cardiovascular Medicine; Physiology (medical)"
"21741","Behavior Genetics",2.28,9,"1.01","0.25","4.10","0.992",9,"1.01","0.25","4.10","0.465",0,0,5,7,0,"Genetics (clinical)"
"12123","Behavioral Sciences and the Law",1.85,7,"1.83","0.34","9.91","0.484",7,"1.83","0.34","9.91","0.262",1,5,1,1,3,"Psychiatry and Mental Health"
"145172","Behavioral Sleep Medicine",1.81,5,"1.37","0.21","8.89","0.739",5,"1.37","0.21","8.89","0.384",4,0,0,0,1,"Clinical Neurology; Medicine (miscellaneous)"
"19700201534","Beneficial microbes",2.72,2,"0.85","0.05","14.25","0.907",2,"0.85","0.05","14.25","0.408",1,1,2,1,1,"Microbiology (medical)"
"19160","Best Practice and Research in Clinical Rheumatology",3.73,2,"1.22","0.04","35.96","0.906",2,"1.22","0.04","35.96","0.714",1,0,0,1,0,"Rheumatology"
"22258","Bioethics",1.43,3,"2.12","0.13","35.36","0.600",3,"2.12","0.13","35.36","1.000",1,3,0,0,2,"Health Policy"
"28582","Biogerontology",3.09,11,"0.45","0.09","2.37","0.348",11,"0.45","0.09","2.37","0.242",7,1,2,4,3,"Geriatrics and Gerontology"
"25453","Biology of Blood and Marrow Transplantation",3.66,91,"0.83","0.47","1.44","0.499",91,"0.83","0.47","1.44","0.221",14,17,22,22,20,"Hematology; Transplantation"
"11300153402","Biomarkers in Medicine",1.68,8,"1.38","0.23","8.43","0.727",8,"1.38","0.23","8.43","0.996",3,3,2,2,0,"Biochemistry, Medical"
"28586","BioMedical Engineering Online",2.01,7,"4.41","0.72","27.18","0.110",7,"4.41","0.72","27.18","0.127",2,6,0,1,1,"Radiology Nuclear Medicine and Imaging"
"19700177126","Biopreservation and Biobanking",1.42,3,"3.02","0.23","39.53","0.400",3,"3.02","0.23","39.53","0.998",2,2,1,3,0,"Medicine (miscellaneous)"
"14863","Biorheology",1.2,2,"1.94","0.12","31.67","0.643",2,"1.94","0.12","31.67","1.000",0,3,0,0,0,"Physiology (medical)"
"20908","Biotechnic and Histochemistry",1.02,3,"1.67","0.15","19.23","0.681",3,"1.67","0.15","19.23","1.000",5,0,1,0,0,"Histology"
"14313","Bipolar Disorders",4.35,13,"1.28","0.35","4.72","0.709",13,"1.28","0.35","4.72","0.485",5,4,4,1,1,"Psychiatry and Mental Health"
"12549","BJOG: An International Journal of Obstetrics and Gynaecology",2.06,46,"0.83","0.44","1.57","0.568",46,"0.83","0.44","1.57","0.530",40,6,5,12,4,"Obstetrics and Gynecology"
"19393","BJU International",3.04,106,"0.61","0.31","1.20","0.150",106,"0.61","0.31","1.20","0.797",44,32,29,26,26,"Urology"
"25454","Blood",6.93,624,"0.67","0.55","0.83","0.000",624,"0.67","0.55","0.83","0.005",128,188,169,142,144,"Hematology"
"25467","Blood Cells, Molecules, and Diseases",1.99,2,"1.06","0.03","36.11","0.974",2,"1.06","0.03","36.11","1.000",2,0,0,0,0,"Hematology"
"25472","Blood Reviews",6.35,2,"0.93","0.05","18.23","0.960",2,"0.93","0.05","18.23","1.000",0,0,2,0,0,"Hematology; Oncology"
"21855","BMC Anesthesiology",1.71,6,"0.82","0.09","7.60","0.865",6,"0.82","0.09","7.60","0.704",0,0,3,2,2,"Anesthesiology and Pain Medicine"
"28747","BMC Cancer",3.56,21,"2.39","0.82","6.95","0.109",21,"2.39","0.82","6.95","0.564",0,6,4,8,5,"Oncology"
"22487","BMC Cardiovascular Disorders",2.01,5,"1.89","0.15","23.68","0.622",5,"1.89","0.15","23.68","0.851",0,0,0,2,4,"Cardiology and Cardiovascular Medicine"
"34441","BMC Complementary and Alternative Medicine",2.51,19,"0.74","0.25","2.25","0.602",19,"0.74","0.25","2.25","0.474",0,0,7,11,9,"Complementary and Alternative Medicine"
"28097","BMC Family Practice",2.01,7,"0.68","0.12","3.72","0.656",7,"0.68","0.12","3.72","0.382",0,4,2,1,0,"Family Practice"
"28251","BMC Gastroenterology",2.62,5,"2.91","0.38","22.22","0.304",5,"2.91","0.38","22.22","0.982",1,2,1,2,1,"Gastroenterology"
"21726","BMC Genetics",2.41,12,"2.02","0.43","9.56","0.375",12,"2.02","0.43","9.56","0.966",0,0,3,5,5,"Genetics (clinical)"
"28558","BMC Geriatrics",2.82,13,"1.07","0.30","3.88","0.916",13,"1.07","0.30","3.88","0.307",3,1,5,4,2,"Geriatrics and Gerontology"
"28098","BMC Health Services Research",2,39,"1.55","0.75","3.19","0.233",39,"1.55","0.75","3.19","0.465",15,5,7,8,16,"Health Policy"
"36513","BMC Infectious Diseases",2.9,40,"0.87","0.41","1.85","0.720",40,"0.87","0.41","1.85","0.489",10,7,12,6,9,"Infectious Diseases"
"28100","BMC Medical Ethics",1.74,7,"3.57","0.63","20.21","0.150",7,"3.57","0.63","20.21","0.642",2,3,2,3,0,"Health Policy"
"17300154707","BMC Medical Genomics",2.96,3,"2.30","0.21","25.66","0.498",3,"2.30","0.21","25.66","0.997",2,1,1,0,0,"Genetics (clinical)"
"23602","BMC Medical Informatics and Decision Making",2.27,8,"0.76","0.14","4.21","0.750",8,"0.76","0.14","4.21","0.170",4,4,3,0,0,"Health Informatics; Health Policy"
"28110","BMC Medical Research Methodology",3.86,11,"1.48","0.42","5.23","0.546",11,"1.48","0.42","5.23","0.465",2,4,3,2,2,"Epidemiology; Health Informatics"
"28111","BMC Medicine",6.81,124,"0.48","0.30","0.77","0.003",124,"0.48","0.30","0.77","0.019",36,35,45,22,14,"Medicine (all)"
"19633","BMC Microbiology",2.82,12,"0.39","0.08","1.89","0.244",12,"0.39","0.08","1.89","0.144",4,5,2,0,2,"Microbiology (medical)"
"29541","BMC Musculoskeletal Disorders",2.08,26,"0.70","0.24","2.06","0.523",26,"0.70","0.24","2.06","0.172",0,7,6,9,6,"Orthopedics and Sports Medicine; Rheumatology"
"19395","BMC Nephrology",2.35,9,"2.08","0.49","8.87","0.324",9,"2.08","0.49","8.87","0.297",4,1,1,1,2,"Nephrology"
"14258","BMC Neurology",2.41,9,"2.40","0.52","11.16","0.264",9,"2.40","0.52","11.16","0.554",0,2,2,4,1,"Clinical Neurology"
"13727","BMC Ophthalmology",1.65,3,"3.74","0.23","59.92","0.351",3,"3.74","0.23","59.92","0.999",0,1,1,0,1,"Ophthalmology"
"28112","BMC Palliative Care",1.92,12,"1.49","0.41","5.44","0.548",12,"1.49","0.41","5.44","0.527",3,4,2,3,1,"Medicine (all)"
"14521","BMC Pediatrics",2.35,12,"1.61","0.41","6.29","0.490",12,"1.61","0.41","6.29","0.933",6,4,0,2,1,"Pediatrics, Perinatology, and Child Health"
"12550","BMC Pregnancy and Childbirth",2.62,30,"1.57","0.65","3.79","0.315",30,"1.57","0.65","3.79","0.675",0,7,5,9,9,"Obstetrics and Gynecology"
"14260","BMC Psychiatry",2.95,20,"0.98","0.37","2.59","0.966",20,"0.98","0.37","2.59","0.109",0,9,6,4,3,"Psychiatry and Mental Health"
"19621","BMC Public Health",2.54,89,"1.71","1.07","2.72","0.024",89,"1.71","1.07","2.72","0.412",30,25,21,12,7,"Public, Environmental, and Occupational Health"
"18026","BMC Pulmonary Medicine",2.76,7,"1.86","0.29","11.93","0.511",7,"1.86","0.29","11.93","0.996",3,0,3,0,2,"Pulmonary and Respiratory Medicine"
"19397","BMC Urology",1.73,2,"5.61","0.35","91.27","0.225",2,"5.61","0.35","91.27","1.000",0,1,1,0,0,"Reproductive Medicine; Urology"
"19499","BMC Women's Health",1.79,3,"2.44","0.21","28.65","0.477",3,"2.44","0.21","28.65","0.999",0,1,1,1,0,"Obstetrics and Gynecology; Reproductive Medicine"
"19800188003","BMJ Open",2.66,19,"2.31","0.78","6.88","0.132",19,"2.31","0.78","6.88","0.142",3,5,9,1,9,"Medicine (all)"
"19700201434","BMJ Quality and Safety",3.98,99,"0.72","0.46","1.13","0.156",99,"0.72","0.46","1.13","0.099",19,21,26,33,25,"Health Policy"
"21100322088","BMJ Supportive and Palliative Care",1.17,6,"0.32","0.03","3.13","0.325",6,"0.32","0.03","3.13","0.123",3,1,3,0,0,"Medicine (miscellaneous)"
"21100422918","Bone and Joint Research",1.19,3,"8.00","0.50","127.91","0.141",3,"8.00","0.50","127.91","0.999",0,0,1,2,0,"Orthopedics and Sports Medicine; Surgery"
"26781","Bone Marrow Transplantation",3.05,23,"0.19","0.04","0.89","0.036",23,"0.19","0.04","0.89","0.021",1,1,5,14,4,"Hematology; Transplantation"
"14317","Brain",7.31,203,"0.68","0.47","0.97","0.033",203,"0.68","0.47","0.97","0.335",19,47,49,55,51,"Clinical Neurology"
"14320","Brain and Development",1.58,2,"2.00","0.12","33.86","0.631",2,"2.00","0.12","33.86","NA",2,0,0,1,0,"Clinical Neurology; Pediatrics, Perinatology, and Child Health"
"10600153347","Brain Imaging and Behavior",3.19,2,"1.26","0.07","21.76","0.871",2,"1.26","0.07","21.76","0.879",0,0,2,0,0,"Clinical Neurology; Psychiatry and Mental Health; Radiology Nuclear Medicine and Imaging"
"14344","Brain Pathology",3.74,13,"0.92","0.28","2.95","0.882",13,"0.92","0.28","2.95","0.732",1,1,7,3,3,"Clinical Neurology; Pathology and Forensic Medicine"
"6600153204","Brain Structure and Function",3.42,3,"3.24","0.16","63.79","0.439",3,"3.24","0.16","63.79","1.000",1,0,0,2,0,"Anatomy; Histology"
"14352","Brain Topography",3.29,4,"0.71","0.06","8.52","0.787",4,"0.71","0.06","8.52","0.606",0,5,0,0,0,"Anatomy; Clinical Neurology; Radiology Nuclear Medicine and Imaging"
"21807","Brazilian Journal of Infectious Diseases",1.25,2,"1.00","0.06","15.99","1.000",2,"1.00","0.06","15.99","1.000",0,2,0,0,0,"Infectious Diseases; Microbiology (medical)"
"12595","Breast",2.91,3,"1.17","0.09","15.25","0.905",3,"1.17","0.09","15.25","0.571",5,0,0,0,0,"Surgery"
"28764","Breast Cancer Research",4.83,18,"1.40","0.48","4.08","0.535",18,"1.40","0.48","4.08","0.612",1,4,5,10,0,"Oncology"
"4000148109","Breast Care",1.25,10,"2.20","0.58","8.39","0.247",10,"2.20","0.58","8.39","0.166",3,2,3,2,2,"Oncology; Surgery"
"12599","Breast Journal",1.33,10,"0.12","0.01","1.06","0.057",10,"0.12","0.01","1.06","NA",2,4,2,2,1,"Internal Medicine; Oncology; Surgery"
"7600153113","Breastfeeding Medicine",1.2,4,"1.41","0.10","19.14","0.798",4,"1.41","0.10","19.14","0.997",5,7,2,0,1,"Health Policy; Obstetrics and Gynecology"
"19700183007","Breathe",0.7,2,"0.71","0.04","11.79","0.809",2,"0.71","0.04","11.79","1.000",2,1,0,0,0,"Pulmonary and Respiratory Medicine"
"21858","British Journal of Anaesthesia",3.46,92,"0.50","0.26","0.96","0.039",92,"0.50","0.26","0.96","0.053",15,22,16,16,59,"Anesthesiology and Pain Medicine"
"28770","British Journal of Cancer",5.78,55,"0.78","0.41","1.49","0.446",55,"0.78","0.41","1.49","0.708",30,14,8,7,6,"Oncology"
"20082","British Journal of Clinical Pharmacology",3.42,34,"0.59","0.24","1.44","0.244",34,"0.59","0.24","1.44","0.228",12,8,8,1,11,"Pharmacology (medical)"
"24267","British Journal of Dermatology",2.59,239,"0.62","0.46","0.84","0.002",239,"0.62","0.46","0.84","0.003",34,45,83,73,117,"Dermatology"
"28679","British Journal of General Practice",0.83,27,"0.50","0.20","1.29","0.152",27,"0.50","0.20","1.29","0.183",10,9,14,4,4,"Family Practice"
"25473","British Journal of Haematology",3.55,31,"0.25","0.07","0.89","0.032",31,"0.25","0.07","0.89","0.153",3,2,3,5,22,"Hematology"
"30025","British Journal of Nutrition",3.46,10,"0.56","0.15","2.13","0.394",10,"0.56","0.15","2.13","0.537",1,5,0,1,3,"Medicine (miscellaneous)"
"13736","British Journal of Ophthalmology",2.86,24,"0.37","0.09","1.64","0.193",24,"0.37","0.09","1.64","0.215",12,17,0,0,0,"Ophthalmology"
"20530","British Journal of Oral and Maxillofacial Surgery",1.23,3,"1.00","0.03","31.97","1.000",3,"1.00","0.03","31.97","1.000",0,1,0,3,0,"Otorhinolaryngology; Surgery"
"14364","British Journal of Psychiatry",3.58,56,"0.34","0.16","0.73","0.005",56,"0.34","0.16","0.73","0.057",33,11,8,6,11,"Psychiatry and Mental Health"
"16576","British Journal of Radiology",1.61,8,"2.06","0.47","8.95","0.336",8,"2.06","0.47","8.95","0.087",2,1,3,0,2,"Radiology Nuclear Medicine and Imaging"
"19817","British Journal of Sports Medicine",4.88,104,"0.50","0.28","0.88","0.016",104,"0.50","0.28","0.88","0.018",36,35,32,25,24,"Orthopedics and Sports Medicine"
"51748","British Medical Journal",1.49,39,"0.80","0.38","1.70","0.569",39,"0.80","0.38","1.70","0.963",49,0,0,0,0,"Medicine (all)"
"20913","Bulletin of the World Health Organization",3.09,15,"2.49","0.68","9.06","0.167",15,"2.49","0.68","9.06","0.282",6,2,5,2,2,"Public, Environmental, and Occupational Health"
"29574","Burns",1.68,13,"2.88","0.76","10.92","0.119",13,"2.88","0.76","10.92","0.259",2,3,2,6,6,"Critical Care and Intensive Care Medicine; Emergency Medicine; Surgery"
"28773","Ca-A Cancer Journal for Clinicians",89.23,3,"0.41","0.04","4.47","0.461",3,"0.41","0.04","4.47","0.417",2,1,1,1,0,"Hematology; Oncology"
"110256","Canadian Family Physician",0.71,27,"0.71","0.29","1.75","0.456",27,"0.71","0.29","1.75","0.200",9,11,15,8,2,"Family Practice"
"21869","Canadian Journal of Anaesthesia",1.34,28,"0.35","0.10","1.20","0.094",28,"0.35","0.10","1.20","0.059",11,4,2,4,15,"Anesthesiology and Pain Medicine"
"22504","Canadian Journal of Cardiology",2.46,105,"1.04","0.59","1.81","0.898",105,"1.04","0.59","1.81","0.618",31,38,24,46,37,"Cardiology and Cardiovascular Medicine"
"145428","Canadian Journal of Emergency Medicine",0.64,8,"0.24","0.03","2.05","0.193",8,"0.24","0.03","2.05","0.866",0,4,5,0,2,"Emergency Medicine"
"21100319398","Canadian Journal of Gastroenterology and Hepatology",1.6,9,"2.20","0.52","9.34","0.287",9,"2.20","0.52","9.34","0.344",0,10,5,0,0,"Gastroenterology; Hepatology"
"20127","Canadian Journal of Hospital Pharmacy",0.48,6,"1.25","0.21","7.40","0.803",6,"1.25","0.21","7.40","0.399",2,5,4,4,3,"Pharmacology (medical)"
"21100780830","Canadian Journal of Kidney Health and Disease",0.36,4,"5.65","0.48","66.39","0.168",4,"5.65","0.48","66.39","0.995",0,2,2,0,0,"Nephrology"
"14836","Canadian Journal of Neurological Sciences",0.71,12,"2.37","0.62","9.05","0.207",12,"2.37","0.62","9.05","0.204",8,3,0,1,1,"Clinical Neurology"
"14838","Canadian Journal of Psychiatry",2.49,58,"0.79","0.43","1.46","0.453",58,"0.79","0.43","1.46","0.671",19,19,20,14,12,"Psychiatry and Mental Health"
"20137","Canadian Journal of Public Health",1.16,8,"2.77","0.31","24.62","0.360",8,"2.77","0.31","24.62","0.247",1,2,3,2,2,"Public, Environmental, and Occupational Health"
"20997","Canadian Journal of Surgery",1.39,4,"1.91","0.23","16.06","0.550",4,"1.91","0.23","16.06","0.466",2,0,4,1,2,"Surgery"
"18421","Canadian Respiratory Journal",1,10,"2.35","0.59","9.40","0.228",10,"2.35","0.59","9.40","0.287",6,4,2,0,0,"Pulmonary and Respiratory Medicine"
"28785","Cancer",4.51,155,"1.01","0.69","1.48","0.964",155,"1.01","0.69","1.48","0.799",22,38,36,39,37,"Oncology"
"28787","Cancer and Metastasis Reviews",5.48,3,"1.08","0.04","28.27","0.963",3,"1.08","0.04","28.27","1.000",2,0,0,1,2,"Oncology"
"28796","Cancer Causes and Control",2.7,10,"3.64","0.70","18.98","0.126",10,"3.64","0.70","18.98","0.052",0,0,16,0,0,"Oncology"
"29093","Cancer Cell",16.19,156,"0.53","0.33","0.83","0.006",156,"0.53","0.33","0.83","0.286",34,37,37,47,33,"Oncology"
"29094","Cancer Cell International",3.14,5,"1.62","0.14","18.31","0.697",5,"1.62","0.14","18.31","1.000",0,2,2,0,2,"Oncology"
"17600155059","Cancer cytopathology",2.76,14,"1.22","0.37","4.08","0.746",14,"1.22","0.37","4.08","0.725",9,4,2,2,1,"Oncology"
"21100212318","Cancer Discovery",3.46,106,"0.43","0.25","0.74","0.002",106,"0.43","0.25","0.74","0.315",15,22,24,35,29,"Oncology"
"29124","Cancer Epidemiology Biomarkers and Prevention",3.95,30,"1.15","0.49","2.67","0.750",30,"1.15","0.49","2.67","0.605",2,12,5,8,10,"Epidemiology; Oncology"
"29126","Cancer Forum",0.17,7,"0.79","0.16","3.84","0.775",7,"0.79","0.16","3.84","0.547",1,2,1,2,2,"Oncology"
"29160","Cancer Letters",6.26,3,"0.97","0.07","13.26","0.983",3,"0.97","0.07","13.26","0.794",0,1,3,0,0,"Oncology"
"15800154704","Cancer Prevention Research",3.91,27,"0.75","0.31","1.84","0.534",27,"0.75","0.31","1.84","0.741",9,8,10,2,3,"Oncology"
"29183","Cancer Research",8.55,12,"0.18","0.02","1.48","0.112",12,"0.18","0.02","1.48","0.230",0,3,4,3,4,"Oncology"
"22522","Cardiology",1.21,26,"0.42","0.09","1.92","0.262",26,"0.42","0.09","1.92","0.133",9,6,5,6,3,"Cardiology and Cardiovascular Medicine; Pharmacology (medical)"
"7200153154","Cardiology Journal",1.14,12,"1.37","0.15","12.85","0.780",12,"1.37","0.15","12.85","0.914",0,5,5,5,0,"Cardiology and Cardiovascular Medicine"
"25441","Cardiovascular Diabetology",4.38,46,"1.14","0.58","2.25","0.705",46,"1.14","0.58","2.25","0.853",11,10,6,12,13,"Cardiology and Cardiovascular Medicine; Endocrinology, Diabetes, and Metabolism"
"22552","Cardiovascular Drugs and Therapy",2.37,14,"0.29","0.03","2.44","0.255",14,"0.29","0.03","2.44","0.321",7,4,1,0,4,"Cardiology and Cardiovascular Medicine; Pharmacology (medical)"
"22570","Cardiovascular Research",4.73,108,"0.57","0.33","0.99","0.046",108,"0.57","0.33","0.99","0.290",29,27,25,27,31,"Cardiology and Cardiovascular Medicine; Physiology (medical)"
"22579","Catheterization and Cardiovascular Interventions",1.81,62,"0.30","0.07","1.28","0.103",62,"0.30","0.07","1.28","0.229",60,44,63,68,69,"Cardiology and Cardiovascular Medicine; Radiology Nuclear Medicine and Imaging"
